calls_per_hour,avg_call_duration,contact_degree,spam_report_count,is_spam
4.36,149.41,9,0,0
81.5,39.3,0,12,1
2.16,211.35,11,1,0
2.76,237.75,6,0,0
1.86,132.31,8,0,0
61.05,2.19,0,8,1
3.03,125.99,8,0,0
4.04,156.69,8,0,0
5.37,91.11,6,0,0
1.04,168.42,5,0,0
24.72,16.74,0,17,1
47.89,10.48,0,25,1
39.73,32.38,0,22,1
3.8,296.0,10,0,0
2.59,166.76,4,0,0
3.24,223.92,9,0,0
53.48,3.37,0,27,1
60.74,29.61,0,16,1
76.2,1.78,1,9,1
4.84,89.57,8,0,0
2.64,192.14,7,0,0
3.84,176.56,5,0,0
3.08,243.02,4,0,0
59.33,3.78,0,30,1
44.04,3.88,0,28,1
73.42,14.62,0,41,1
0.59,342.65,10,0,0
2.74,150.01,1,0,0
38.83,5.89,0,9,1
2.02,324.1,7,0,0
3.74,160.57,12,0,0
2.75,188.82,12,0,0
1.42,150.26,6,0,0
59.2,6.4,0,15,1
1.81,141.41,9,0,0
1.08,275.45,8,0,0
1.88,223.47,7,0,0
69.88,44.36,0,12,1
1.19,183.94,3,0,0
44.14,2.09,0,17,1
2.62,93.41,8,1,0
50.89,13.17,0,16,1
4.38,287.24,9,0,0
33.53,5.74,0,11,1
1.85,149.83,9,1,0
0.82,77.06,8,0,0
3.68,123.65,6,1,0
37.33,12.0,0,22,1
3.2,25.0,8,0,0
2.78,163.78,4,0,0
4.66,68.42,10,0,0
3.3,276.48,3,0,0
4.54,179.55,3,0,0
1.71,206.4,9,1,0
6.65,274.18,3,0,0
3.03,146.7,6,0,0
45.96,13.18,0,22,1
1.11,229.08,4,1,0
53.54,17.89,0,27,1
6.05,168.4,5,0,0
6.21,94.4,6,0,0
2.09,214.27,4,0,0
4.44,181.96,5,0,0
5.14,302.13,8,0,0
39.88,2.87,0,19,1
3.78,149.1,9,0,0
1.48,212.25,2,0,0
73.03,9.13,0,17,1
37.18,20.15,0,10,1
0.94,208.97,4,0,0
8.2,178.68,1,0,0
2.01,180.18,5,0,0
2.06,263.52,5,0,0
3.59,126.67,6,0,0
44.26,10.79,0,12,1
60.0,3.96,0,19,1
43.94,8.34,1,9,1
3.41,194.29,4,0,0
1.88,189.08,3,0,0
2.56,285.14,7,0,0
7.15,249.28,9,0,0
48.29,5.48,1,14,1
1.74,215.03,7,0,0
4.14,303.85,7,0,0
4.7,340.01,10,0,0
3.88,250.27,5,0,0
4.85,190.88,4,0,0
3.4,161.3,4,0,0
55.93,1.17,0,10,1
1.51,126.22,5,0,0
2.0,220.48,2,0,0
7.86,185.09,4,0,0
7.07,285.78,7,0,0
6.13,190.85,7,0,0
1.27,58.34,7,1,0
3.21,260.79,6,0,0
1.45,173.88,7,0,0
60.91,9.67,0,26,1
7.05,181.91,4,0,0
9.61,359.57,8,0,0
3.68,267.99,6,0,0
3.71,197.03,8,0,0
2.21,249.1,4,0,0
73.05,2.03,0,15,1
3.17,122.64,10,0,0
56.12,1.45,0,7,1
42.55,18.3,0,21,1
2.81,187.03,7,0,0
1.28,232.37,5,0,0
3.68,241.81,7,1,0
31.21,7.19,1,12,1
3.38,227.7,6,0,0
4.47,48.15,3,0,0
3.09,230.19,3,0,0
3.26,131.11,10,0,0
7.35,213.43,4,0,0
0.98,297.18,5,0,0
4.24,96.04,9,0,0
3.17,192.71,8,0,0
7.91,218.21,10,0,0
1.21,176.52,7,0,0
1.76,192.29,4,0,0
2.53,308.9,7,0,0
79.42,26.05,0,11,1
1.33,225.21,6,0,0
2.57,107.53,8,0,0
7.0,280.37,4,0,0
0.83,224.04,10,0,0
4.37,211.19,6,0,0
4.81,194.84,10,0,0
96.07,29.49,1,10,1
57.74,13.21,0,17,1
2.92,263.87,3,0,0
3.15,166.48,9,0,0
2.5,254.21,5,0,0
1.82,131.99,6,0,0
45.11,10.19,0,10,1
2.88,195.13,4,0,0
48.18,3.07,0,16,1
2.64,95.07,5,0,0
3.09,250.7,11,0,0
1.86,172.65,3,0,0
13.03,229.05,6,0,0
93.19,4.35,0,24,1
97.21,7.05,0,11,1
54.24,11.77,0,28,1
110.31,20.17,0,40,1
4.13,210.64,8,0,0
1.17,56.11,11,0,0
2.09,149.63,10,0,0
2.8,121.66,12,0,0
2.0,161.38,1,0,0
4.57,73.77,7,0,0
42.15,1.91,0,17,1
71.38,3.23,0,8,1
85.51,2.52,0,10,1
3.35,122.72,4,0,0
74.12,15.52,0,6,1
4.66,208.11,8,0,0
1.96,91.13,8,0,0
3.36,112.75,6,0,0
0.8,143.33,3,0,0
2.23,288.33,10,1,0
34.87,10.73,0,16,1
3.47,57.03,7,0,0
39.92,5.62,0,22,1
60.61,1.86,0,15,1
1.42,230.67,1,0,0
2.83,180.45,3,0,0
72.76,6.62,0,12,1
53.04,2.51,0,25,1
57.19,5.44,0,18,1
2.39,181.97,6,0,0
2.42,178.05,6,0,0
3.38,247.73,7,0,0
3.92,238.51,3,0,0
59.66,1.53,0,14,1
0.93,198.34,10,0,0
2.65,201.92,9,1,0
70.48,2.68,0,18,1
4.66,275.65,5,0,0
6.36,225.19,4,0,0
0.9,222.91,5,1,0
7.36,220.2,9,0,0
2.93,311.43,3,0,0
3.53,63.51,10,0,0
4.15,258.16,8,0,0
36.51,10.47,0,15,1
2.8,206.75,4,0,0
1.53,222.88,1,0,0
1.25,144.61,9,1,0
2.78,61.08,8,0,0
1.15,168.27,6,0,0
1.87,204.29,7,0,0
40.41,2.2,1,10,1
64.34,2.63,0,8,1
81.01,6.16,0,9,1
1.82,125.88,6,0,0
5.1,153.85,6,0,0
3.42,38.73,6,0,0
91.7,12.78,0,14,1
0.69,211.01,2,1,0
1.17,265.87,7,1,0
1.37,219.82,8,0,0
49.02,2.14,0,13,1
74.96,8.87,0,19,1
69.65,2.44,0,30,1
2.01,223.18,12,0,0
3.17,241.32,5,0,0
2.08,159.99,10,0,0
1.79,257.13,14,0,0
33.99,6.45,0,33,1
6.96,123.8,6,0,0
5.5,135.91,6,0,0
1.8,251.01,7,0,0
1.06,200.1,9,0,0
72.96,8.73,0,21,1
1.77,157.1,4,0,0
11.45,131.16,3,0,0
1.56,182.01,6,0,0
1.32,155.75,5,1,0
4.46,146.45,3,0,0
3.21,175.63,7,0,0
52.69,7.79,0,8,1
2.69,229.61,6,0,0
9.55,157.47,6,0,0
61.96,20.71,0,39,1
1.19,221.23,7,0,0
6.07,314.46,10,0,0
46.68,2.09,0,11,1
1.13,142.51,6,0,0
2.06,216.74,6,0,0
3.59,79.15,10,0,0
1.78,231.59,6,0,0
4.11,142.96,4,0,0
1.52,133.46,7,0,0
3.99,170.88,7,0,0
3.19,243.05,6,1,0
4.13,272.54,7,0,0
3.23,85.92,3,0,0
44.68,6.75,0,12,1
1.68,172.3,10,0,0
47.13,18.02,0,31,1
3.26,128.55,7,0,0
5.35,169.37,8,0,0
1.53,98.92,4,1,0
3.3,196.36,3,0,0
1.06,284.66,5,0,0
9.67,106.5,4,1,0
1.05,312.86,3,0,0
34.84,4.83,0,5,1
4.49,231.19,10,0,0
8.19,335.93,8,0,0
62.0,2.45,0,8,1
4.48,204.54,9,0,0
2.45,199.48,7,0,0
38.31,9.38,0,9,1
6.09,156.09,9,0,0
2.29,147.99,6,2,0
15.0,92.51,7,0,0
3.9,107.24,5,0,0
0.82,291.84,4,0,0
40.32,3.47,0,5,1
2.06,265.48,6,0,0
1.46,236.34,8,0,0
47.04,2.79,0,9,1
1.61,71.77,4,0,0
1.9,115.45,6,0,0
2.49,207.99,5,0,0
6.44,180.53,6,1,0
3.6,193.24,8,0,0
3.09,318.36,4,0,0
55.71,1.97,0,16,1
1.74,135.15,8,0,0
3.48,210.58,2,0,0
2.46,290.51,4,0,0
1.73,207.28,5,0,0
68.61,10.16,0,14,1
4.22,189.99,6,0,0
39.06,3.45,0,20,1
2.07,343.31,9,0,0
2.83,212.13,5,0,0
1.32,256.71,8,0,0
40.24,1.8,0,17,1
4.08,198.58,7,0,0
2.27,129.21,9,0,0
1.83,43.52,10,0,0
5.17,336.41,2,0,0
5.92,198.9,5,0,0
1.04,211.85,4,0,0
63.59,1.64,1,20,1
2.06,28.75,4,0,0
55.87,16.55,0,24,1
28.79,1.84,0,47,1
50.13,8.87,0,9,1
2.91,134.41,6,0,0
2.2,170.67,11,0,0
1.56,206.99,4,0,0
3.03,290.89,5,0,0
1.78,248.61,2,0,0
1.4,205.01,7,1,0
11.08,221.83,4,1,0
1.52,206.42,6,0,0
1.77,163.78,3,0,0
1.79,249.41,3,0,0
48.47,2.89,0,28,1
46.25,3.22,0,11,1
4.06,258.64,9,0,0
2.51,179.58,3,0,0
52.35,19.9,0,11,1
45.02,5.48,0,26,1
1.95,245.91,5,0,0
5.37,232.3,7,1,0
3.68,74.94,3,0,0
1.2,266.62,6,0,0
3.22,149.05,5,0,0
3.58,178.18,10,0,0
5.1,262.09,12,0,0
1.93,157.35,4,0,0
5.17,126.57,5,0,0
63.02,37.97,0,10,1
6.97,213.06,4,0,0
0.97,130.57,4,1,0
2.1,204.69,7,0,0
91.31,12.4,0,13,1
101.59,4.68,0,13,1
70.55,13.95,1,17,1
2.19,151.02,3,0,0
84.59,5.16,0,15,1
1.22,249.99,8,0,0
2.46,184.34,8,0,0
2.15,269.58,10,1,0
2.68,156.94,7,0,0
4.43,231.61,5,0,0
1.17,121.78,5,0,0
54.99,1.28,0,25,1
8.03,134.74,3,0,0
3.47,229.89,5,0,0
1.82,97.46,6,0,0
2.27,140.12,7,0,0
4.14,285.89,5,0,0
3.57,165.64,4,0,0
1.86,270.05,5,0,0
5.43,206.5,7,0,0
75.59,7.21,0,20,1
55.72,29.45,0,13,1
41.37,20.9,0,5,1
1.78,124.54,8,0,0
2.57,116.06,6,0,0
5.36,293.71,5,0,0
3.71,147.29,6,0,0
104.7,14.3,0,12,1
1.57,52.39,9,0,0
56.67,14.45,0,33,1
44.66,27.68,0,14,1
3.16,129.85,7,0,0
2.81,197.73,8,0,0
38.31,8.9,1,24,1
5.26,177.65,3,0,0
55.22,6.45,0,22,1
30.66,24.7,0,18,1
1.11,241.84,8,0,0
37.76,1.92,0,10,1
4.06,161.57,5,0,0
46.28,9.13,0,15,1
1.24,226.15,2,0,0
2.51,124.01,6,0,0
3.52,110.67,6,0,0
43.7,13.56,0,20,1
50.47,18.72,1,26,1
3.55,331.82,9,0,0
40.77,2.37,0,14,1
40.38,2.0,0,30,1
72.66,8.39,0,24,1
2.05,285.06,7,0,0
5.73,56.45,7,0,0
2.25,100.33,7,0,0
52.75,2.4,0,29,1
2.18,114.7,6,0,0
1.63,256.16,12,0,0
3.72,180.75,8,0,0
90.79,2.32,0,12,1
59.97,6.74,1,11,1
30.56,21.1,0,23,1
2.01,150.64,1,0,0
59.62,12.23,0,6,1
6.73,191.23,6,0,0
0.96,213.35,6,1,0
3.19,101.31,5,0,0
3.08,192.33,5,0,0
50.11,5.79,1,17,1
36.21,8.35,0,12,1
6.99,184.78,5,1,0
3.61,168.06,9,0,0
50.24,38.49,1,7,1
86.95,1.76,0,13,1
58.21,23.44,0,9,1
61.84,2.83,0,12,1
3.36,62.72,3,0,0
2.65,158.06,8,0,0
65.44,14.84,0,18,1
1.29,142.99,7,0,0
62.43,17.89,0,16,1
1.09,88.04,10,0,0
22.17,4.61,0,4,1
4.47,109.74,6,0,0
47.26,1.68,0,12,1
2.37,243.49,3,0,0
33.6,2.68,0,16,1
1.64,319.06,6,0,0
2.36,148.02,9,0,0
45.5,2.16,0,32,1
3.02,141.79,6,0,0
2.5,261.18,6,0,0
77.3,2.68,1,28,1
73.31,2.43,0,19,1
1.77,217.1,5,0,0
4.28,112.49,5,0,0
46.56,7.85,0,29,1
49.06,7.4,0,15,1
2.81,166.14,4,0,0
0.89,164.93,3,0,0
1.68,165.81,8,0,0
2.75,65.45,1,0,0
3.28,115.34,3,0,0
3.13,155.58,6,0,0
38.66,3.52,0,11,1
1.0,175.61,12,0,0
30.54,3.64,0,21,1
49.44,2.33,0,14,1
54.35,3.77,0,24,1
2.86,185.67,2,1,0
2.27,214.23,5,0,0
86.23,4.71,0,18,1
60.32,6.68,0,10,1
2.78,222.43,5,1,0
58.84,13.46,1,44,1
2.71,137.55,8,0,0
2.66,211.09,6,0,0
42.23,2.72,0,13,1
7.28,161.66,10,0,0
4.53,176.53,3,0,0
3.13,213.52,3,1,0
2.48,136.74,3,0,0
6.39,185.28,4,0,0
3.68,270.12,11,0,0
1.15,85.54,4,1,0
5.63,175.96,4,1,0
6.97,145.52,4,0,0
34.79,1.85,0,11,1
65.34,19.57,0,24,1
2.38,175.33,3,0,0
1.86,203.14,8,0,0
2.94,202.64,9,0,0
1.07,96.02,3,0,0
1.23,200.06,12,0,0
2.93,133.06,6,0,0
4.41,172.02,2,0,0
2.71,256.18,6,0,0
4.15,177.74,4,0,0
2.69,182.06,6,0,0
4.15,160.41,8,0,0
92.97,2.3,0,33,1
30.0,21.45,0,40,1
61.68,5.2,0,26,1
5.38,176.91,6,0,0
8.22,94.81,4,0,0
1.51,276.34,7,1,0
2.18,237.66,7,0,0
39.27,2.54,0,14,1
98.2,1.08,0,15,1
1.41,199.49,8,0,0
43.5,7.28,1,8,1
1.7,210.97,5,0,0
55.11,1.27,0,29,1
57.64,6.33,1,14,1
3.3,140.89,6,0,0
54.22,6.89,0,38,1
4.98,80.57,6,0,0
9.56,139.89,3,0,0
4.05,138.93,5,0,0
65.62,7.51,0,31,1
3.05,177.52,7,0,0
2.14,157.97,10,1,0
1.74,154.11,10,0,0
2.45,203.82,7,0,0
2.15,172.41,5,0,0
100.27,14.79,0,7,1
0.96,207.86,14,0,0
3.92,208.78,4,0,0
2.86,191.32,8,1,0
1.5,245.69,6,1,0
5.04,290.87,7,0,0
46.51,7.24,0,13,1
1.03,229.32,4,0,0
36.54,8.47,0,11,1
2.73,177.52,4,0,0
1.76,150.96,7,0,0
2.08,176.18,8,0,0
0.61,226.89,9,0,0
1.73,159.68,8,1,0
2.96,210.57,7,0,0
1.41,268.07,5,0,0
68.37,12.79,0,33,1
2.5,143.25,8,0,0
1.08,193.14,4,0,0
2.88,199.26,10,0,0
6.49,203.72,5,0,0
28.15,11.4,0,17,1
52.43,12.89,0,21,1
52.15,8.89,1,16,1
1.65,114.1,3,0,0
3.58,187.41,6,0,0
50.07,19.43,0,11,1
61.72,9.4,0,14,1
72.84,17.83,0,12,1
67.05,3.53,0,11,1
0.85,129.02,4,0,0
8.56,183.79,7,0,0
4.56,189.1,6,0,0
5.03,71.06,4,0,0
6.48,281.54,5,0,0
2.41,278.23,9,0,0
0.84,29.46,7,0,0
6.75,128.95,4,0,0
41.79,7.64,0,15,1
76.88,25.09,0,16,1
6.57,174.34,6,0,0
1.33,244.4,3,0,0
43.65,7.11,0,8,1
64.77,3.94,0,22,1
6.02,199.94,5,0,0
2.51,87.39,12,0,0
56.53,2.73,0,9,1
54.36,1.72,0,14,1
67.17,7.72,0,10,1
4.1,158.3,5,0,0
3.11,89.61,10,0,0
50.51,2.8,0,11,1
4.94,256.46,3,0,0
9.97,131.91,8,0,0
81.84,11.4,0,22,1
2.55,91.53,9,0,0
1.29,239.67,4,0,0
3.06,251.43,8,0,0
86.68,10.76,0,26,1
4.21,206.35,7,0,0
1.49,163.01,6,0,0
61.01,8.58,0,11,1
2.28,217.08,5,0,0
66.61,4.28,0,13,1
5.6,37.95,11,0,0
3.39,243.0,12,0,0
2.34,204.2,5,0,0
6.91,139.3,8,0,0
70.98,8.61,0,21,1
6.74,232.74,3,0,0
60.65,18.87,0,12,1
5.16,50.83,7,0,0
26.49,6.3,1,14,1
46.16,4.4,0,41,1
3.79,195.44,6,0,0
7.83,196.33,6,0,0
2.84,152.91,6,0,0
2.04,131.42,4,0,0
2.88,250.03,4,0,0
3.4,177.34,2,0,0
56.4,2.17,0,6,1
66.79,14.49,0,11,1
25.97,5.1,0,9,1
1.93,165.18,3,2,0
2.95,152.41,6,0,0
3.94,189.64,6,0,0
3.27,233.91,8,1,0
54.39,1.34,0,13,1
5.71,83.72,8,0,0
2.42,197.03,3,0,0
61.85,3.94,0,18,1
52.77,20.2,0,9,1
59.43,12.38,0,6,1
2.57,85.91,6,0,0
4.05,207.23,5,0,0
2.21,182.67,9,0,0
25.96,4.21,0,34,1
1.06,204.46,5,0,0
65.07,6.82,0,22,1
6.24,134.67,3,1,0
3.74,190.0,5,0,0
3.16,256.12,8,0,0
44.47,2.55,1,12,1
3.01,183.18,9,0,0
3.04,231.1,7,1,0
1.4,214.26,6,0,0
9.32,79.73,7,0,0
1.56,147.58,5,0,0
0.55,222.58,4,0,0
4.36,45.49,1,0,0
3.0,73.91,2,1,0
12.03,267.74,4,0,0
48.08,2.12,1,18,1
58.66,4.25,1,8,1
1.95,175.54,4,1,0
3.4,244.35,4,0,0
3.0,164.14,8,0,0
40.03,6.31,0,6,1
3.74,216.33,8,0,0
7.04,204.62,4,1,0
51.71,4.73,0,13,1
1.69,178.84,5,0,0
36.24,1.6,0,11,1
0.7,233.5,5,0,0
65.13,10.41,0,9,1
5.24,192.53,9,0,0
2.72,161.29,12,0,0
1.4,167.13,9,0,0
1.96,99.02,3,0,0
4.28,150.65,4,0,0
64.64,5.58,0,13,1
3.64,209.48,1,0,0
51.99,13.22,0,29,1
9.46,179.38,7,0,0
7.42,183.87,9,0,0
1.22,110.09,3,0,0
64.42,10.63,0,16,1
1.61,221.97,4,1,0
2.02,173.88,11,0,0
5.62,222.21,4,0,0
2.18,133.77,5,0,0
6.2,221.63,11,0,0
2.3,232.86,8,0,0
70.6,4.67,0,19,1
2.61,231.77,5,0,0
76.38,2.34,0,16,1
1.95,179.9,7,0,0
61.14,9.51,0,12,1
2.08,262.48,7,0,0
2.14,267.91,11,0,0
3.8,283.54,5,0,0
6.21,160.91,7,0,0
2.71,190.82,5,0,0
8.04,223.63,3,0,0
6.36,90.17,6,0,0
56.74,2.36,0,18,1
36.44,4.87,0,17,1
3.64,111.86,7,0,0
1.9,254.98,8,0,0
52.77,12.15,0,20,1
1.82,202.0,12,0,0
91.56,7.33,0,12,1
5.32,135.92,7,0,0
4.56,231.2,3,0,0
3.92,327.14,5,0,0
1.0,177.6,2,0,0
74.56,8.27,0,10,1
36.53,6.11,1,14,1
40.82,6.99,0,13,1
0.74,118.49,7,0,0
7.16,176.93,9,0,0
38.32,16.3,0,13,1
2.35,162.03,5,0,0
3.97,159.89,3,0,0
38.61,19.71,0,26,1
6.16,238.07,9,0,0
7.59,178.24,8,0,0
2.15,75.33,8,0,0
72.08,10.99,0,16,1
4.45,114.06,8,0,0
6.12,269.88,1,0,0
4.48,173.04,4,0,0
1.51,112.21,7,0,0
44.0,2.58,0,38,1
3.58,171.21,6,0,0
41.24,1.01,0,11,1
64.18,1.7,0,13,1
36.22,45.0,0,26,1
1.29,201.54,4,0,0
1.46,117.72,3,0,0
2.71,245.01,6,0,0
41.76,1.22,1,14,1
5.04,59.9,7,0,0
9.92,179.03,4,0,0
3.74,194.06,8,0,0
2.93,178.08,4,0,0
94.28,3.58,0,19,1
0.75,171.5,3,0,0
2.77,201.75,1,0,0
1.23,161.9,8,0,0
2.01,187.96,5,0,0
33.73,1.51,0,9,1
74.56,9.76,0,10,1
2.22,189.33,11,0,0
2.36,156.58,9,1,0
2.05,216.41,6,1,0
1.37,155.93,4,0,0
33.93,7.13,0,14,1
9.41,177.54,6,0,0
3.4,244.13,9,0,0
1.14,229.22,6,1,0
76.1,4.5,0,20,1
2.56,146.21,10,0,0
5.74,269.62,5,0,0
3.39,203.05,6,0,0
5.17,125.07,3,0,0
1.41,180.13,7,0,0
0.84,242.28,3,0,0
7.75,115.18,4,0,0
6.81,156.51,4,0,0
6.05,157.03,3,0,0
4.29,239.26,12,1,0
3.39,120.38,11,0,0
3.22,260.05,1,0,0
48.39,1.11,0,15,1
38.3,4.02,0,14,1
1.81,227.11,14,0,0
64.03,4.38,0,7,1
3.25,156.3,4,0,0
59.99,9.03,1,9,1
1.85,241.62,3,1,0
4.12,174.08,1,0,0
53.07,1.13,0,10,1
1.71,124.66,5,0,0
1.99,240.44,3,0,0
1.66,239.56,4,0,0
3.13,134.96,5,0,0
5.88,180.11,7,0,0
1.18,280.63,8,0,0
3.3,220.68,7,0,0
62.1,2.98,0,10,1
2.46,83.81,6,0,0
65.35,16.11,0,12,1
1.03,120.18,7,0,0
3.3,121.38,9,0,0
3.46,85.23,11,0,0
0.94,193.62,3,0,0
47.36,2.42,0,10,1
3.09,203.97,2,0,0
3.51,130.52,10,1,0
9.41,174.04,6,0,0
6.06,74.67,6,0,0
40.93,5.24,0,23,1
1.36,110.48,7,0,0
33.68,6.46,0,23,1
56.52,2.35,0,11,1
38.21,2.94,0,14,1
3.89,181.18,5,0,0
45.53,23.14,0,19,1
1.04,158.75,11,0,0
2.58,139.63,8,0,0
0.63,157.33,9,1,0
54.49,6.69,0,26,1
69.18,11.53,0,30,1
58.34,3.78,0,23,1
28.82,4.88,0,16,1
4.02,75.65,3,0,0
1.61,25.0,6,0,0
3.12,199.81,10,0,0
37.64,3.48,0,6,1
3.27,279.88,9,0,0
1.9,236.81,11,0,0
3.46,243.85,5,0,0
8.63,261.17,5,0,0
78.04,18.62,0,22,1
1.78,239.52,6,0,0
3.09,161.12,9,0,0
43.22,8.84,0,35,1
3.16,217.61,5,0,0
45.89,16.53,0,6,1
36.27,4.58,0,19,1
2.91,269.73,5,0,0
2.58,278.22,6,0,0
2.64,294.15,10,0,0
1.32,111.48,6,0,0
5.7,172.97,7,0,0
3.4,263.95,4,1,0
8.59,227.79,4,0,0
3.33,118.46,8,0,0
42.52,17.65,0,15,1
7.45,181.27,9,0,0
45.64,3.3,0,12,1
2.93,288.37,6,0,0
3.93,183.47,8,0,0
4.41,224.68,5,0,0
3.6,220.76,6,0,0
26.24,11.52,0,18,1
3.3,162.91,7,0,0
2.9,112.49,5,0,0
1.49,283.68,6,0,0
49.12,12.89,0,7,1
3.63,163.91,11,0,0
71.43,3.22,0,27,1
27.72,20.49,0,27,1
5.23,126.84,5,0,0
8.66,228.6,7,0,0
4.74,100.19,8,0,0
2.19,168.33,8,0,0
2.27,166.06,12,0,0
3.54,111.78,4,0,0
2.13,221.25,4,0,0
3.91,158.3,7,0,0
4.78,114.25,6,0,0
4.54,191.41,8,1,0
3.76,159.85,6,0,0
10.64,59.39,5,0,0
46.03,3.92,0,15,1
43.68,9.91,0,18,1
2.0,99.63,8,0,0
3.24,100.75,7,0,0
63.82,9.46,0,7,1
4.51,50.32,6,0,0
3.7,215.03,4,0,0
1.56,128.14,5,0,0
10.51,206.88,12,1,0
2.98,247.18,6,0,0
61.46,26.8,0,29,1
44.36,1.68,1,25,1
2.95,116.72,6,0,0
1.43,172.27,1,0,0
47.06,7.98,0,9,1
3.58,143.04,5,0,0
28.39,2.81,0,9,1
